Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Instalación Deportiva Municipal Básica Santa Rita,Principales espacios de deporte,CALLE ALBA DE TORMES 2,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3591.8556471422517
Instalación Deportiva Municipal Básica Santa Virgilia,Principales espacios de deporte,CALLE SANTA VIRGILIA 17 posterior,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3771.1328157710745
Instalación Deportiva Municipal Básica Santuario de Valverde (Montecarmenlo),Principales espacios de deporte,AVENIDA SANTUARIO DE VALVERDE 41,217 - Pedro Rico,Calle Pedro Rico nº 4,3072.530848758762
Instalación Deportiva Municipal Básica Sepúlveda,Principales espacios de deporte,CALLE SEPULVEDA 220,224 - Caramuel,Calle Caramuel nº 51,3258.3680095909754
Instalación Deportiva Municipal Básica Seseña,Principales espacios de deporte,"CALLE SESEÑA 2 c/v Calle Valmojado, 2",224 - Caramuel,Calle Caramuel nº 51,3500.247756789736
Instalación Deportiva Municipal Básica Sierra Elvira,Principales espacios de deporte,CALLE SIERRA ELVIRA 37 Posterior,225 - Doctor Lozano,Calle Sierra Toledana nº 33,297.38745615142557
Instalación Deportiva Municipal Básica Sierra del Valle,Principales espacios de deporte,CALLE ARROYO DEL OLIVAR s/n c/v Sierra del Valle,227 - Concordia,Calle Arroyo del Olivar nº 6,856.7166999681132
Instalación Deportiva Municipal Básica Sinesio Delgado,Principales espacios de deporte,CALLE ISLA DE OZA 61,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1667.4917694570709
Instalación Deportiva Municipal Básica Soto Hidalgo,Principales espacios de deporte,CALLE RIAÑO 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7714.379357364787
Instalación Deportiva Municipal Básica Talbot,Principales espacios de deporte,CALLE TALBOT 3,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2821.747564286716
Instalación Deportiva Municipal Básica Telémaco,Principales espacios de deporte,CALLE TELEMACO s/n,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,1176.0971171135077
Instalación Deportiva Municipal Básica Tercio Terol,Principales espacios de deporte,CALLE CHINDASVINTO  c/v Tulga,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1426.2511429500748
Instalación Deportiva Municipal Básica Torrelaguna (La Colina),Principales espacios de deporte,CALLE TORRELAGUNA  esq. Normas,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,1191.7632369625048
Instalación Deportiva Municipal Básica Torrespaña - Fuente del Berro (centro deportivo),Principales espacios de deporte,CALLE NUDO M-30 C/V ALCALDE SAINZ DE BARANDA 94,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,428.05352788961545
Instalación Deportiva Municipal Básica Tres Olivos I Pádel,Principales espacios de deporte,CALLE CUEVA DE MONTESINOS 27,217 - Pedro Rico,Calle Pedro Rico nº 4,2008.3293818675875
Instalación Deportiva Municipal Básica Tres Olivos II,Principales espacios de deporte,AVENIDA CAMPO DE CALATRAVA 3 c/v Alonso Quijano y Afueras a Valverde,217 - Pedro Rico,Calle Pedro Rico nº 4,2229.471470089299
Instalación Deportiva Municipal Básica Tribaldos,Principales espacios de deporte,CALLE TRIBALDOS 37 junto a la iglesia,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2809.152968515437
Instalación Deportiva Municipal Básica Tribaldos II,Principales espacios de deporte,CALLE TRIBALDOS 34,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3059.0745539719387
Instalación Deportiva Municipal Básica Trinquete,Principales espacios de deporte,CALLE VELACHO BAJO 3,254 - Pío XII,Avenida Pío XII nº 3,2506.8790654659724
Instalación Deportiva Municipal Básica UVA Pan Bendito,Principales espacios de deporte,UVA PAN BENDITO ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,3253.7775120609476
Instalación Deportiva Municipal Básica UVA de Vallecas,Principales espacios de deporte,CALLE MONTE DE MONTJUICH 9 C/ Sierra Gorda,221 - Pavones,Calle Hacienda de Pavones nº 342,3041.4508279021093
Instalación Deportiva Municipal Básica Urbanización Arroyo del Santo,Principales espacios de deporte,AVENIDA PRUNOS 100,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3643.7918364630727
Instalación Deportiva Municipal Básica Urbis,Principales espacios de deporte,AVENIDA DOCTOR GARCIA TAPIA 117 esquina Avd. Moratalaz,219 - Marroquina,Calle Camino de los Vinateros nº 108,608.8215708738289
Instalación Deportiva Municipal Básica Valdebernardo,Principales espacios de deporte,CALLE CORDEL DE PAVONES 9,221 - Pavones,Calle Hacienda de Pavones nº 342,1804.2907587005348
Instalación Deportiva Municipal Básica Valdelasierra,Principales espacios de deporte,CALLE VALDELASIERRA 7,174 - Madrid Río-Yeserías,Paseo de Yeserías nº 45,96.35953610707318
Instalación Deportiva Municipal Básica Valderriba,Principales espacios de deporte,AVENIDA GRAN VIA DEL ESTE 14,221 - Pavones,Calle Hacienda de Pavones nº 342,4090.324167717831
