Place of interest,Type of Place,Place Address,BiciMAD Station,Station Location,Distance
Instalación Deportiva Municipal Básica Campo Fútbol Puerta Bonita,Principales espacios de deporte,CALLE GENERAL RICARDOS 166,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2148.7800415855927
Instalación Deportiva Municipal Básica Campo de Fútbol Rodríguez Sahagún,Principales espacios de deporte,CALLE CAPITAN BLANCO ARGIBAY S/N c/v Cº del Chorrillo,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1435.8872518036344
Instalación Deportiva Municipal Básica Campo de Fútbol San Martín de Porres,Principales espacios de deporte,PASEO ERMITA DEL SANTO S/N Parque de San Isidro,224 - Caramuel,Calle Caramuel nº 51,1175.6189529786182
Instalación Deportiva Municipal Básica Campo de Fútbol Tierra,Principales espacios de deporte,AVENIDA DOCTOR GARCIA TAPIA 113,219 - Marroquina,Calle Camino de los Vinateros nº 108,564.9825682675507
Instalación Deportiva Municipal Básica Campo de fútbol Orcasitas,Principales espacios de deporte,AVENIDA RAFAELA YBARRA 119,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2761.666188087099
Instalación Deportiva Municipal Básica Canal de Panamá,Principales espacios de deporte,CALLE CANAL DE PANAMA S/N,231 - Derechos Humanos,Calle Derechos Humanos nº 12,444.0995222412865
Instalación Deportiva Municipal Básica Canillas - Club Deportivo Canillas,Principales espacios de deporte,CALLE AGUSTIN DE ITURBIDE 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2765.158911280538
Instalación Deportiva Municipal Básica Carlos II,Principales espacios de deporte,"CALLE CARLOS II 4 con Austria, 5",215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3728.7433196488996
Instalación Deportiva Municipal Básica Carlos Solé,Principales espacios de deporte,CALLE CARLOS SOLE 19,226 - Sierra Toledana,Camino de Valderribas nº 94,1491.2336812741282
Instalación Deportiva Municipal Básica Carmen Amaya,Principales espacios de deporte,AVENIDA DOCTOR GARCIA TAPIA 28-30,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,655.7445248384402
Instalación Deportiva Municipal Básica Caronte,Principales espacios de deporte,CALLE CARONTE 4,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,591.6997148227344
Instalación Deportiva Municipal Básica Carril del Conde,Principales espacios de deporte,CALLE CARRIL DEL CONDE frente nº 57 c/v Puerto Real,214 - Condesa de Venadito,Calle Condesa de Venadito nº 2,2002.4782134397008
Instalación Deportiva Municipal Básica Carrión de los Condes,Principales espacios de deporte,PLAZA TEMPLARIOS 4,254 - Pío XII,Avenida Pío XII nº 3,2495.2094288704525
Instalación Deportiva Municipal Básica Casa Campo,Principales espacios de deporte,PARQUE CASA DE CAMPO s/n Explanada de la Casa de Campo,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,1016.00752124864
Instalación Deportiva Municipal Básica Casa Campo I Lago,Principales espacios de deporte,PARQUE CASA DE CAMPO s/n Explanada junto al lago,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,583.4421347478034
Instalación Deportiva Municipal Básica Casa Campo II Teleférico,Principales espacios de deporte,PARQUE CASA DE CAMPO s/n Subida al teleférico-Pza. Casón,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,1330.1853816585322
Instalación Deportiva Municipal Básica Casa Campo III,Principales espacios de deporte,PARQUE CASA CAMPO S/N Paseo Piñoneros - junto a pirámide,112 - Paseo de Moret,Paseo de Moret nº 11,1337.6710479805106
Instalación Deportiva Municipal Básica Casa Campo IV,Principales espacios de deporte,PARQUE CASA CAMPO S/N Junto a la M-30 a la altura del C.D.M. José María Cagigal,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,1302.1785927882756
Instalación Deportiva Municipal Básica Casalarreina,Principales espacios de deporte,CALLE CASALARREINA 28,221 - Pavones,Calle Hacienda de Pavones nº 342,2478.5189398184743
Instalación Deportiva Municipal Básica Casino de la Reina,Principales espacios de deporte,CALLE CASINO 3,48 - Embajadores 2,Glorieta de Embajadores nº 2,271.81735356668025
Instalación Deportiva Municipal Básica Castroserna,Principales espacios de deporte,CALLE CASTROSERNA 2,224 - Caramuel,Calle Caramuel nº 51,2444.743243568387
Instalación Deportiva Municipal Básica Cazorla,Principales espacios de deporte,"CALLE CAMPILLO DE ARENAS 3 c/v calle Cazorla - c/v calle Ibros, 3",227 - Concordia,Calle Arroyo del Olivar nº 6,2002.742582021173
Instalación Deportiva Municipal Básica Cementerio Civil,Principales espacios de deporte,AVENIDA DAROCA 101,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1347.9372417386387
Instalación Deportiva Municipal Básica Cerro Blanco,Principales espacios de deporte,"CALLE ALBARDIN 7 c/v Cerro Blanco, 30",228 - San Delfín,Calle San Delfín nº 9,1872.036290804954
Instalación Deportiva Municipal Básica Cerro Cabezuelos,Principales espacios de deporte,CALLE VILLALOBOS 46,227 - Concordia,Calle Arroyo del Olivar nº 6,2201.9763870615757
Instalación Deportiva Municipal Básica Cerro Negro,Principales espacios de deporte,CALLE CERRO NEGRO 5,179 - Puente de Vallecas,Avenida de la Albufera nº 6,301.1478459803382
Instalación Deportiva Municipal Básica Circuito Natural Footing Retiro,Principales espacios de deporte,PARQUE EL RETIRO ,65 - Antonio Maura,Calle Antonio Maura nº 15,179.83518136956468
Instalación Deportiva Municipal Básica Circuito de Bicicletas Enrique Otero,Principales espacios de deporte,PARQUE CASA DE CAMPO ,224 - Caramuel,Calle Caramuel nº 51,1810.404541895281
Instalación Deportiva Municipal Básica Circuito de Footing Casa de Campo,Principales espacios de deporte,PARQUE CASA DE CAMPO ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,912.2617135641577
Instalación Deportiva Municipal Básica Ciudad Pegaso I,Principales espacios de deporte,CALLE UNO S/N,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5646.3034697402345
Instalación Deportiva Municipal Básica Ciudad Pegaso II,Principales espacios de deporte,CALLE SEIS S/N,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5577.80948738121
Instalación Deportiva Municipal Básica Ciudad Pegaso III,Principales espacios de deporte,CALLE ONCE S/N,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5501.966235756108
Instalación Deportiva Municipal Básica Ciudad de Los Ángeles,Principales espacios de deporte,CALLE ANOETA S/N Parque ciudad de los Ángeles,213 - Glorieta de Cádiz,Calle Antonio López nº 129,4025.7193746682
Instalación Deportiva Municipal Básica Clara del Rey,Principales espacios de deporte,CALLE CLARA DEL REY 61,251 - Corazón de María,Calle Santa Hortensia nº 31,302.2121231214377
Instalación Deportiva Municipal Básica Club Deportivo Alzola,Principales espacios de deporte,"CALLE SEGURA 74 c/v Gainza, 22",213 - Glorieta de Cádiz,Calle Antonio López nº 129,3173.10113274156
Instalación Deportiva Municipal Básica Club de Petanca Esperanza de Canilllas,Principales espacios de deporte,CALLE SILVANO 63 c/v Andorra,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,1888.0867584758885
Instalación Deportiva Municipal Básica Club de Petanca Peonias,Principales espacios de deporte,CALLE PEONIAS 2,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3472.952081469751
Instalación Deportiva Municipal Básica Cocheras (Ciudad Lineal),Principales espacios de deporte,CALLE SAN LAMBERTO s/n,234 - Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,455.5616031423524
Instalación Deportiva Municipal Básica Cocheras (Retiro),Principales espacios de deporte,CALLE COCHERAS 1,78 - Pedro Bosch,Calle Cerro de la Plata nº 2,212.12999433452322
Instalación Deportiva Municipal Básica Colombia,Principales espacios de deporte,CALLE COLOMBIA 59,160 - Colombia,Calle Colombia nº 7,797.1701599009069
Instalación Deportiva Municipal Básica Colonia Euskalduna,Principales espacios de deporte,CALLE HERMANDAD DE DONANTES DE SANGRE 7,213 - Glorieta de Cádiz,Calle Antonio López nº 129,3827.5168564899454
Instalación Deportiva Municipal Básica Colonia Marconi,Principales espacios de deporte,AVENIDA MARCONI s/n,235 - Embajadores 191,Calle Sodio nº 1B,6166.520935038984
Instalación Deportiva Municipal Básica Colonia San Cristóbal de Los Ángeles,Principales espacios de deporte,CALLE ROCAFORT s/n Detrás de E. I. Los Pinos.,235 - Embajadores 191,Calle Sodio nº 1B,5362.703902557645
Instalación Deportiva Municipal Básica Colonia Sierra del Valle,Principales espacios de deporte,CALLE PAYASO FOFO 7,227 - Concordia,Calle Arroyo del Olivar nº 6,754.1473738605694
Instalación Deportiva Municipal Básica Colonia los Taxistas,Principales espacios de deporte,"CALLE SIERRA DE CUERDA LARGA 41, 43, 45 y 47",226 - Sierra Toledana,Camino de Valderribas nº 94,455.0101310434639
Instalación Deportiva Municipal Básica Concejal Gabriel Fernández (Parque Cuña Verde),Principales espacios de deporte,CALLE CUART DE POBLET 6 c/v Duquesa de Parcent,224 - Caramuel,Calle Caramuel nº 51,2922.3185174951345
Instalación Deportiva Municipal Básica Conde Duque,Principales espacios de deporte,CALLE SANTA CRUZ DE MARCENADO 21,13 - Conde Duque,Calle Conde Duque nº 22,175.77470643118144
Instalación Deportiva Municipal Básica Condesa de Venadito,Principales espacios de deporte,CALLE CONDESA DE VENADITO 7,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,470.9869724457638
Instalación Deportiva Municipal Básica Cordel de Pavones,Principales espacios de deporte,CALLE CORDEL DE PAVONES 11,221 - Pavones,Calle Hacienda de Pavones nº 342,1785.7534385054312
Instalación Deportiva Municipal Básica Cordel de Pavones I,Principales espacios de deporte,CALLE CORDEL DE PAVONES 9,221 - Pavones,Calle Hacienda de Pavones nº 342,3063.9707763804568
Instalación Deportiva Municipal Básica Corregidor Diego de Valderrábano,Principales espacios de deporte,CALLE CORREGIDOR DIEGO DE VALDERRABANO 24,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,173.04029568063746
Instalación Deportiva Municipal Básica Cuevas de Almanzora,Principales espacios de deporte,CALLE MOJACAR 2,254 - Pío XII,Avenida Pío XII nº 3,2992.5502696894873
Instalación Deportiva Municipal Básica Cuña Verde,Principales espacios de deporte,INST. DEPORTIVA BASICA CUÑA VERDE VILLAAMIL 126,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,1275.8154221406078
Instalación Deportiva Municipal Básica Cárcavas,Principales espacios de deporte, Camino de Valdehigueras 46,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,4297.637508163684
Instalación Deportiva Municipal Básica Cárcavas Oeste I,Principales espacios de deporte,CALLE CARMEN RICO GODOY 40,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,4327.20471808321
Instalación Deportiva Municipal Básica Cárcavas Oeste II,Principales espacios de deporte,CALLE SAN ANDRES DE RABANEDO 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,4437.968041892414
Instalación Deportiva Municipal Básica David González Rubio,Principales espacios de deporte,CALLE DOCTOR TOLOSA LATOUR 6-10 Parque Pradolongo,213 - Glorieta de Cádiz,Calle Antonio López nº 129,1543.8828437652924
Instalación Deportiva Municipal Básica Dehesa del Príncipe,Principales espacios de deporte,AVENIDA ARQUEROS 29,224 - Caramuel,Calle Caramuel nº 51,8163.0644150430435
Instalación Deportiva Municipal Básica Diana,Principales espacios de deporte,CALLE GALEON 25,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6996.246867756874
Instalación Deportiva Municipal Básica Doctor Cirajas,Principales espacios de deporte,CALLE DOCTOR CIRAJAS 3,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,757.6266321050133
Instalación Deportiva Municipal Básica Doctor Vallejo-Nájera,Principales espacios de deporte,CALLE GASOMETRO 32 c/v Vallejo Nájera,163 - Paseo de la Esperanza,Paseo de la Esperanza nº 2,227.90873334334606
Instalación Deportiva Municipal Básica Drácena,Principales espacios de deporte,CALLE DRACENA 42,254 - Pío XII,Avenida Pío XII nº 3,1023.6813752409041
Instalación Deportiva Municipal Básica Duque de Sevilla,Principales espacios de deporte,CALLE DUQUE DE SEVILLA 1,146 - María Francisca 1,Calle María Francisca nº 1,288.37821003886285
Instalación Deportiva Municipal Básica Echegaray,Principales espacios de deporte,CALLE ENCOMIENDA DE PALACIOS 324,221 - Pavones,Calle Hacienda de Pavones nº 342,369.2949661412303
Instalación Deportiva Municipal Básica El Bosco,Principales espacios de deporte,CALLE EL BOSCO 14 frente Ramón Pérez de Ayala,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,522.1709809100778
Instalación Deportiva Municipal Básica El Bosque,Principales espacios de deporte,PLAZA GOLMAYO 17,254 - Pío XII,Avenida Pío XII nº 3,1860.5140587143428
Instalación Deportiva Municipal Básica El Capricho I,Principales espacios de deporte,PASEO ALAMEDA DE OSUNA 48,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5389.683825050625
Instalación Deportiva Municipal Básica El Cruce,Principales espacios de deporte,CALLE SANTIAGO AMON 6y8,235 - Embajadores 191,Calle Sodio nº 1B,4504.623882999345
Instalación Deportiva Municipal Básica El Espinillo I,Principales espacios de deporte,CALLE TERTULIA 7,235 - Embajadores 191,Calle Sodio nº 1B,3093.295500113923
Instalación Deportiva Municipal Básica El Espinillo III,Principales espacios de deporte,CALLE UNANIMIDAD s/n,235 - Embajadores 191,Calle Sodio nº 1B,3099.1806796793644
Instalación Deportiva Municipal Básica El Parque,Principales espacios de deporte,PASEO COMANDANTE FORTEA 25,112 - Paseo de Moret,Paseo de Moret nº 11,1083.7666179477635
Instalación Deportiva Municipal Básica El Pedernoso - Parque de Villa Rosa - Paco Caño,Principales espacios de deporte,CALLE PEDROÑERAS 42,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3303.3727511806674
Instalación Deportiva Municipal Básica El Torero,Principales espacios de deporte,CALLE TORERO 10 c/v Antonio López (Parque El Torero),228 - San Delfín,Calle San Delfín nº 9,305.16766236108543
Instalación Deportiva Municipal Básica El Vandel,Principales espacios de deporte,CALLE FLORENCIO CANO CRISTOBAL 9 esq. Pasaje Poveda,221 - Pavones,Calle Hacienda de Pavones nº 342,1137.2224866123836
Instalación Deportiva Municipal Básica El Yesero,Principales espacios de deporte,CALLE EL YESERO 1,221 - Pavones,Calle Hacienda de Pavones nº 342,2176.7692222025453
Instalación Deportiva Municipal Básica Electra,Principales espacios de deporte,CALLE CRONOS 65,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2777.8713356249527
Instalación Deportiva Municipal Básica Enrique Tierno Galván,Principales espacios de deporte,PARQUE ENRIQUE TIERNO GALVAN ,118 - Juan Martín,Calle Juan Martín el Empecinado nº 16,698.3058047304928
Instalación Deportiva Municipal Básica Eros,Principales espacios de deporte,CALLE EROS 6,180 - Méndez Álvaro,Calle Retama nº 5,478.10003439202984
Instalación Deportiva Municipal Básica Esfinge,Principales espacios de deporte,CALLE ESFINGE 60 c/v Circe,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3842.745190487801
Instalación Deportiva Municipal Básica Esperanza I - Club Virgen de la Esperanza,Principales espacios de deporte,CALLE SILVANO 65,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,1953.0580809516066
Instalación Deportiva Municipal Básica Esperanza II,Principales espacios de deporte,CALLE SILVANO 61,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,1832.2749125398673
Instalación Deportiva Municipal Básica Estanque de las Tormentas,Principales espacios de deporte,CALLE ARROYO DE POZUELO S/N,261 - Facultad Derecho,Avenida Complutense nº 23,6016.769251448633
Instalación Deportiva Municipal Básica Estefanita,Principales espacios de deporte,CALLE ESTEFANITA 7 Detrás del CEIP El Greco,235 - Embajadores 191,Calle Sodio nº 1B,5138.737631737852
Instalación Deportiva Municipal Básica Estíbaliz,Principales espacios de deporte,CALLE ESTIBALIZ 30,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2873.0681535500166
Instalación Deportiva Municipal Básica Euterpe,Principales espacios de deporte,CALLE EUTERPE 1,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5863.059075753009
Instalación Deportiva Municipal Básica Eva Duarte,Principales espacios de deporte,CALLE DOCTOR GOMEZ ULLA 9,145 - Ortega y Gasset 87,Calle Ortega y Gasset nº 87,370.51642288935113
Instalación Deportiva Municipal Básica Evangelios-Almendrales,Principales espacios de deporte,CALLE EVANGELIOS 4,213 - Glorieta de Cádiz,Calle Antonio López nº 129,635.2492724211369
Instalación Deportiva Municipal Básica Fermín Caballero,Principales espacios de deporte,CALLE FERMIN CABALLERO 88,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2808.53163159488
Instalación Deportiva Municipal Básica Francisco Laguna,Principales espacios de deporte,CALLE FRANCISCO LAGUNA 26,227 - Concordia,Calle Arroyo del Olivar nº 6,582.5978846473944
Instalación Deportiva Municipal Básica Francisco de Goya (antigua Mozart),Principales espacios de deporte,INST. DEPORTIVA BASICA MOZART ,161 - Paseo de la Florida,Paseo de la Florida nº 8,441.52944114268456
Instalación Deportiva Municipal Básica Frontón Orcasitas,Principales espacios de deporte,AVENIDA RAFAELA YBARRA 103 Parque de Orcasitas,213 - Glorieta de Cádiz,Calle Antonio López nº 129,2441.597066014965
Instalación Deportiva Municipal Básica Frontón Polideportivo San Fermín,Principales espacios de deporte,"CALLE ESTAFETA 2 c/v calle San Mario, 18",235 - Embajadores 191,Calle Sodio nº 1B,1672.7816757132491
Instalación Deportiva Municipal Básica Frontón San Fermín,Principales espacios de deporte,CAMINO PERALES 136 c/v calle de Torrox,235 - Embajadores 191,Calle Sodio nº 1B,2182.2681599461857
Instalación Deportiva Municipal Básica Frontón Tudelillas,Principales espacios de deporte,AVENIDA PABLO IGLESIAS 62,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1,68.1532163447962
Instalación Deportiva Municipal Básica Fuente Espina,Principales espacios de deporte,CALLE FUENTESPINA 29,221 - Pavones,Calle Hacienda de Pavones nº 342,3923.0595793774105
Instalación Deportiva Municipal Básica Fuente de Lima,Principales espacios de deporte,CALLE FUENTE DE LIMA 24,224 - Caramuel,Calle Caramuel nº 51,6645.677306510866
Instalación Deportiva Municipal Básica Fuerte de Navidad,Principales espacios de deporte,CALLE FUERTE DE NAVIDAD  c/v La Isabela,224 - Caramuel,Calle Caramuel nº 51,5122.565642556197
Instalación Deportiva Municipal Básica Félix Rodríguez de la Fuente,Principales espacios de deporte,CALLE FELIX RODRIGUEZ DE LA FUENTE 3,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,481.82291952619045
Instalación Deportiva Municipal Básica Galeón,Principales espacios de deporte,CALLE GALEON 3,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6802.890269175679
Instalación Deportiva Municipal Básica Garrovillas,Principales espacios de deporte,PLAZA GARROVILLAS S/N,224 - Caramuel,Calle Caramuel nº 51,6496.224639408039
Instalación Deportiva Municipal Básica General Millán Astray,Principales espacios de deporte,CALLE GENERAL MILLAN ASTRAY 4,224 - Caramuel,Calle Caramuel nº 51,5501.655557101837
Instalación Deportiva Municipal Básica Glorieta Avenida San Luis,Principales espacios de deporte,CALLE Añastro 78,254 - Pío XII,Avenida Pío XII nº 3,1589.8329532149896
Instalación Deportiva Municipal Básica Glorieta de Segovia,Principales espacios de deporte,PASEO Ciudad de Plasencia ,166 - Segovia 26,Calle Segovia nº 26,186.34423157991094
Instalación Deportiva Municipal Básica Gran Vía de Hortaleza,Principales espacios de deporte,AVENIDA GRAN VIA DE HORTALEZA 1,254 - Pío XII,Avenida Pío XII nº 3,2006.326060827536
Instalación Deportiva Municipal Básica Guadalajara,Principales espacios de deporte,AVENIDA GUADALAJARA S/N,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2733.9067516444807
Instalación Deportiva Municipal Básica Hermanos Trueba,Principales espacios de deporte,CALLE HERMANOS TRUEBA 30,227 - Concordia,Calle Arroyo del Olivar nº 6,985.6526474249148
Instalación Deportiva Municipal Básica Hogar del Ferroviario,Principales espacios de deporte,"AVENIDA MEDITERRANEO S/N Colonia Ferroviarios, frente a Manuel Mª Arrillaga, 51",225 - Doctor Lozano,Calle Sierra Toledana nº 33,510.1359909352856
Instalación Deportiva Municipal Básica Hornero,Principales espacios de deporte,CALLE HORNERO 1,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1201.9754014992127
Instalación Deportiva Municipal Básica Huerta de la Salud,Principales espacios de deporte,CALLE ALCOBENDAS 3,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3567.546386690715
Instalación Deportiva Municipal Básica Illescas,Principales espacios de deporte,CALLE ILLESCAS  c/v Pº Extremadura,224 - Caramuel,Calle Caramuel nº 51,4374.005612934765
Instalación Deportiva Municipal Básica Imagen,Principales espacios de deporte,CALLE IMAGEN 23,227 - Concordia,Calle Arroyo del Olivar nº 6,1181.9251727747135
Instalación Deportiva Municipal Básica Isabel Patacón,Principales espacios de deporte,CALLE ISABEL PATACON S/N Barrio de Buenavista,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4649.136633609859
Instalación Deportiva Municipal Básica Isla de Tabarca,Principales espacios de deporte,CALLE SANTIAGO DE COMPOSTELA 104 c/v Isla de Tabarca,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2655.0751977680466
Instalación Deportiva Municipal Básica Iván de Vargas,Principales espacios de deporte,TRAVESIA IVAN DE VARGAS 4,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,450.6654027064498
Instalación Deportiva Municipal Básica Jacinto Verdaguer,Principales espacios de deporte,CALLE JACINTO VERDAGUER 17,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,299.07947543552405
Instalación Deportiva Municipal Básica Jardines Alhambra,Principales espacios de deporte,CALLE ALHAMBRA  c/v Carlos Fuentes,224 - Caramuel,Calle Caramuel nº 51,1934.0985140618686
Instalación Deportiva Municipal Básica Jardines General Fanjul,Principales espacios de deporte,AVENIDA LAS AGUILAS ,224 - Caramuel,Calle Caramuel nº 51,4578.047095495296
Instalación Deportiva Municipal Básica Jardines Vía Carpetana,Principales espacios de deporte,CALLE VIA CARPETANA S/N c/v Laguna,224 - Caramuel,Calle Caramuel nº 51,2370.166097256708
Instalación Deportiva Municipal Básica Jardines de Bucaramanga,Principales espacios de deporte,AVENIDA BUCARAMANGA 2,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3365.4516455475136
Instalación Deportiva Municipal Básica Jardín Canarias,Principales espacios de deporte,CALLE CANARIAS 19,120 - Palos de la Frontera,Calle Palos de la Frontera nº 27,111.36268357879251
Instalación Deportiva Municipal Básica Jardín Papelera Peninsular,Principales espacios de deporte,CALLE ARGANDA 3,174 - Madrid Río-Yeserías,Paseo de Yeserías nº 45,372.42783913573754
Instalación Deportiva Municipal Básica Jardín de Portugalete,Principales espacios de deporte,CALLE ULISES 23,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,1604.8283739757787
Instalación Deportiva Municipal Básica Jazmin,Principales espacios de deporte,CALLE JAZMIN 36,252 - Chamartín,Calle Rodríguez Jaén nº 40,2079.1097454072046
Instalación Deportiva Municipal Básica Jesús Aprendiz,Principales espacios de deporte,CALLE ANTONIO DIAZ-CAÑABATE 9 c/v Arias Montano,82 - Niño Jesús,Calle Doctor Esquerdo nº 161,254.80763266853174
Instalación Deportiva Municipal Básica Jesús Divino Obrero,Principales espacios de deporte,CALLE HUMANES S/N c/v Tossa,220 - Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,1298.39880166217
Instalación Deportiva Municipal Básica Joaquín Ibarra,Principales espacios de deporte,CALLE JOAQUIN IBARRA S/N Frente al nº 24,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6277.996047257886
Instalación Deportiva Municipal Básica José Durán,Principales espacios de deporte,AVENIDA PARQUE DE PALOMERAS BAJAS 10,227 - Concordia,Calle Arroyo del Olivar nº 6,1489.9164166961878
Instalación Deportiva Municipal Básica José de Cadalso,Principales espacios de deporte,CALLE JOSE DE CADALSO  C/V General Romero Basart,224 - Caramuel,Calle Caramuel nº 51,5663.24855488515
Instalación Deportiva Municipal Básica José de Pasamonte,Principales espacios de deporte,AVENIDA DOCTOR GARCIA TAPIA 51,219 - Marroquina,Calle Camino de los Vinateros nº 108,408.0362355555911
Instalación Deportiva Municipal Básica Juan Clemente Núñez,Principales espacios de deporte,CALLE JUAN CLEMENTE NU&amp;Ntilde;EZ 1,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3186.097046024672
Instalación Deportiva Municipal Básica Juan de Mariana,Principales espacios de deporte,CALLE JUAN DE MARIANA 8,118 - Juan Martín,Calle Juan Martín el Empecinado nº 16,292.0127388496413
Instalación Deportiva Municipal Básica Juan de Vera,Principales espacios de deporte,PLAZA CASAR DE CACERES  (Juan de Vera - Batalla de Belchite),164 - Paseo de las Delicias,Paseo de las Delicias nº 92,249.35942276370568
Instalación Deportiva Municipal Básica Julián González,Principales espacios de deporte,CALLE JULIAN GONZALEZ 4,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,317.5496525911504
Instalación Deportiva Municipal Básica La Cabrera,Principales espacios de deporte,CALLE LA CABRERA 33,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,2116.9209663592405
Instalación Deportiva Municipal Básica La Chimenea,Principales espacios de deporte,CALLE VALLANDES 5 c/v Hermenegildo Bielsa y Calesas,222 - Antonio López,Calle Eugenio Caxes frente al nº 12,177.95608679212933
Instalación Deportiva Municipal Básica La Chopera,Principales espacios de deporte,CALLE ESCULTOR PERESEJO 86,261 - Facultad Derecho,Avenida Complutense nº 23,6956.759682253503
Instalación Deportiva Municipal Básica La Diligencia,Principales espacios de deporte,CALLE DILGENCIA 7 c/v calle Puerto Velate,227 - Concordia,Calle Arroyo del Olivar nº 6,856.7166999681132
Instalación Deportiva Municipal Básica La Masó,Principales espacios de deporte,CALLE LA MASO 34 c/v Collado de Cerro Malejo,217 - Pedro Rico,Calle Pedro Rico nº 4,3056.1475117752034
Instalación Deportiva Municipal Básica La Perla,Principales espacios de deporte,CALLE CORINDON 3,235 - Embajadores 191,Calle Sodio nº 1B,2447.4440958349587
Instalación Deportiva Municipal Básica Las Rosas,Principales espacios de deporte,AVENIDA NIZA s/n,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3845.1829960863465
Instalación Deportiva Municipal Básica Las Vistillas,Principales espacios de deporte,PLAZA GABRIEL MIRO ,166 - Segovia 26,Calle Segovia nº 26,186.34423157991094
Instalación Deportiva Municipal Básica Lili Alvarez,Principales espacios de deporte,"CALLE LA RIVIERA 4 c/v calle Provenza, 3 Cañón Río Lobos",221 - Pavones,Calle Hacienda de Pavones nº 342,860.9462377386308
Instalación Deportiva Municipal Básica Lonja de la Seda,Principales espacios de deporte,CALLE LONJA DE LA SEDA 32 Parc. 2.1 del P.A.U. de Carabanchel,224 - Caramuel,Calle Caramuel nº 51,6117.203852746572
Instalación Deportiva Municipal Básica Los Arbolitos,Principales espacios de deporte,RONDA SUR S/N frente c/ Serena,227 - Concordia,Calle Arroyo del Olivar nº 6,2053.152847171216
Instalación Deportiva Municipal Básica Los Caprichos,Principales espacios de deporte,AVENIDA CAPRICHOS 1,224 - Caramuel,Calle Caramuel nº 51,371.6820260288423
Instalación Deportiva Municipal Básica Los Coronales,Principales espacios de deporte,CALLE BAHIA DE MALAGA 5,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,6449.077066868679
Instalación Deportiva Municipal Básica Los Cármenes,Principales espacios de deporte,CALLE ALHAMBRA 35,224 - Caramuel,Calle Caramuel nº 51,2147.0522892352897
